point,lat,long
1,"4° 10'01.80""S","11°06'45.72""E"
2,"4°38'49.27""S","10°48'39.61""E"
3,"5° 05'13.77""S","10°22'12.21""E"
4,"4°54'20.16""S","10°11'14.54""E"
6,"3°30'57.26""S","10°11'14.54""E"
7,"3°30'57.26""S","10°23'4.61""E"
8,"3°55'10.42""S","10°49'54.06""E"
9,"3°59'46.56""S","10°53'57.77""E"
10,"3°59'46.10""S","10°57'12.24""E"
